URL,Label
https://www.bpjstoto169.site,Legitimate
https://vvrl.cc/bk97ju,Phishing
https://pub-0fbf250cde35434b90181cd7862586b0.r2.dev/ConnectDevice.html?theme=mmsk&amp;2lFsj=401T42T401KM42Vr1844401Vr42T42T401KM42Vr1844401KM42Vr1844,Phishing
https://shine-s-school4.teachable.com/p/yahoo,Phishing
https://share-na2.hsforms.com/1rv4FVzN1QGGEYm67-gx-Fg409sj9,Phishing
https://www.tnwli.cn,Legitimate
https://t.co/M0RhU4NoPV,Phishing
https://www.hycraft.us,Legitimate
https://www.dwin-global.com,Legitimate
https://startledegrapp.ghost.io/ledger-live-app/,Phishing
https://aesrhjkttrjewgqfwretrf-qwgethyrjhgfq3.teemill.com/,Phishing
https://www.kksongs.org,Legitimate
https://www.clara-anima.site,Legitimate
https://www.combosupport.in,Legitimate
https://atreuod.firebaseapp.com/,Phishing
https://www.byersoft.com,Legitimate
https://docs.google.com/presentation/d/e/2PACX-1vQIcY-Z55MOFb42SCqvZf3d3VlQUsa-ijQsBuUA8oM6l93V33dHuavPBnkrTWi_VAVBOuk4JdRoNFIY/pub?start=false&amp;loop=false&amp;delayms=3000,Phishing
https://www.nigerhosting.com,Legitimate
https://www.2id.ir,Legitimate
https://www.composantsdiffusion.com,Legitimate
https://www.mycovetrus.com,Legitimate
https://hotm.art/oywifv,Phishing
https://qrco.de/bfQ0Ul,Phishing
https://www.djgame.com.cn,Legitimate
https://docs.google.com/presentation/d/e/2PACX-1vTTNEpLEa9Z-eZhMjRMCLz7-afDqVoGbVBlUGppVv99D9qVSy0AdCuNYBGI0L3nMnT6eQ6OqSbo2JI6/pub?start=false&loop=false&delayms=3000,Phishing
https://www.axisoflogic.com,Legitimate
https://l.ead.me/bfHKOY,Phishing
https://www.pvgis.com,Legitimate
https://www.anindecor.pl,Legitimate
https://www.ubilling.net.ua,Legitimate
https://docs.google.com/presentation/d/e/2PACX-1vTN0nS2ToN91IAd_jWpxbAktq2efZElW-t_s9sOf2u8tGueik5HLTrxPZUV_sE8Y7IcgnE2pOVhOkJ6/pub?start=false&amp;loop=false&amp;delayms=3000,Phishing
https://docs.google.com/forms/d/e/1FAIpQLSfiMQNM0VZnVDP2mzvMjiGtjvmR9YzvghJjN2etfTwDAl3FNA/viewform?usp=send_form,Phishing
https://qrco.de/bfJDQ6,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vTvy9_bT7PenCSskcOwsGR0P6_kcVT4_tYjDkFWXVblxEkIT8IjzowtDPzQTsnHYIMIrxImv7vL_yS7/pub?start=false&amp;loop=false&amp;delayms=3000,Phishing
https://www.tithely.com,Legitimate
https://celni-f7j.firebaseapp.com/,Phishing
https://www.personalizeapp.com.br,Legitimate
https://ucatolica.weebly.com/,Phishing
https://new.express.adobe.com/webpage/pwKaXIFonCPUg,Phishing
https://www.clubs1.bg,Legitimate
https://www.tcgrepublic.com,Legitimate
https://pub-2916f79c02924f4090d165d00e7d0ff0.r2.dev/index.html,Phishing
https://www.robertshawaii.com,Legitimate
https://pub-4eece31719b1445a9bc8a46df57e6d9a.r2.dev/fsa826396.html,Phishing
https://www.mjm789.pw,Legitimate
https://bafkreibdjv6cqft6l3kuqel7vexnkhfzpydpqb4lagtqjvdwabjjbsd3fi.ipfs.dweb.link/,Phishing
https://app.jotform.com/251923627952565,Phishing
https://bit.ly/4fb04aL,Phishing
https://raindfaith.firebaseapp.com/,Phishing
https://bit.ly/4e6kkZJ,Phishing
https://qrco.de/bfHqCV,Phishing
https://www.sdback.xyz,Legitimate
https://www.apps-bradesco.click,Phishing
https://www.onlypollypocket.com,Legitimate
http://ledgrcoms.wixstudio.com,Phishing
https://www.nivelir24.com,Legitimate
https://qrco.de/bfIEbj,Phishing
https://www.ekovitrin.com,Legitimate
https://servicios.sssvida.com/sssvida/ePayment/PoliciesToPay,Phishing
https://account.booking.com/sign-in?op_token=EgVvYXV0aCKyAQoUNlo3Mm9IT2QzNk5uN3prM3BpcmgSCWF1dGhvcml6ZRoaaHR0cHM6Ly9hZG1pbi5ib29raW5nLmNvbS8qOnsiYXV0aF9hdHRlbXB0X2lkIjoiMzM5NWJlNDQtMmZmNC00YzZiLTkwMmMtYzU4NjA1YzBiMGNiIn0yK2Y2YmpSQnktOUJSWUxKQk1EZ3h2Q2xFRzhva3YyUjlJTEZjNVhYR3pnQVk6BFMyNTZCBGNvZGUqEzCb2Zf5hacnOgBCAFjNtIS0pzI,Phishing
https://mega-caixa.org/,Phishing
https://www.megabad.com,Legitimate
https://www.wkuherald.com,Legitimate
https://l.ead.me/bfMJRS,Phishing
https://docs.google.com/drawings/d/1sBJ0PT2Oh2huHKB_LDZ7YSM7au8vHgqJkbn9imHQlEc,Phishing
https://www.kerastase.ca,Legitimate
https://docs.google.com/drawings/d/147zkMEkbbezn1CKV1N3A8sVpSNZlPgSifVLxU5kTbvA/edit,Phishing
https://www.sonifi.cloud,Legitimate
https://www.naicoms.com,Legitimate
https://docs.google.com/presentation/d/e/2PACX-1vSy1snLs13m19YQ_uOnhf5pOEpyp9RzvsuiQtzpA5otbCjfNjgnhgdt6fUo1Z7pPPMTmc8c2K-LK-Og/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,Phishing
https://www.actif-soumis.com,Legitimate
https://4675769432.weebly.com/,Phishing
https://l.ead.me/bfRHCK,Phishing
https://docs.google.com/forms/d/e/1FAIpQLSeuMPn497av1YmXlBnOpHN5x_Or_MV5z_bGY5qC1zq-eDSbNA/viewform?usp=send_form,Phishing
https://docs.google.com/presentation/d/e/2PACX-1vRAAdoApBnWBtjCZuuA5P3tH6EKDvwFu8DTrGtFHWBbOTEwwtYcDaD-iuXpgzaPwNGPQsVyNzT2omfZ/pub?start=false&loop=false&delayms=3000&slide=id.g2d673bda738_0_3,Phishing
https://www.mobxvideos.com,Legitimate
https://mestertignseekjet6.blogspot.com/,Phishing
https://www.differentia.ru,Legitimate
https://www.jetour-freshrnd.ru,Legitimate
https://q-r.to/bfIlYM,Phishing
https://www.ador.com,Legitimate
